param N:= 43; 
param : i : xp yp :=
1	-415.13738711464	-3780.95762416648
2	-579.233398228436	-3888.22780525718
3	-598.742504864765	-3762.54362032143
4	-579.364645129012	-3820.13703627076
5	-483.2927321706	-3869.64326371621
6	-417.039898379657	-3747.33548777651
7	-417.65454854308	-3720.60173945406
8	-410.85628386411	-3770.90097676362
9	-656.667931082584	-3843.20034920601
10	-464.543682628871	-3821.05536576881
11	-407.24020981196	-3785.62831985528
12	-488.214771988288	-3834.4207246052
13	-442.906695818171	-3789.17512989601
14	-548.888885517813	-3680.03834815697
15	-567.878246418074	-3894.23405441888
16	-647.01410055207	-3863.42131431808
17	-595.021173590065	-3813.39746909931
18	-520.468627925688	-3880.2202668641
19	-459.544372801168	-3792.47511731215
20	-565.222875504125	-3890.28917899495
21	-451.768811409294	-3694.92831088039
22	-428.167329790405	-3772.55222551729
23	-520.70902275104	-3802.70000380206
24	-585.630548894819	-3904.28058592383
25	-537.718152239288	-3739.22538439321
26	-522.785451257758	-3611.9808017801
27	-532.154582758384	-3840.24989926671
28	-484.425277234273	-3755.52469142108
29	-420.644809454027	-3785.25658120011
30	-404.300677980049	-3815.01997697063
31	-521.62926296574	-3856.07642321204
32	-437.834141537282	-3868.33004255984
33	-600.648161713899	-3800.62866206348
34	-511.475504184761	-3733.86223950382
35	-447.578861584211	-3758.13951377928
36	-527.669023432355	-3712.24034207843
37	-497.361959677345	-3777.83915073223
38	-548.390971217337	-3807.12294566591
39	-479.863376700423	-3714.74171813905
40	-486.890806551037	-3800.35632094247
41	-607.349303008152	-3708.86113606146
42	-477.525437355137	-3638.00869610949;
